ward,requests,median_days_to_close,pct_closed,share
12  Rideau-Vanier,34764,3.0,0.94,0.0605
8  College,34567,2.0,0.948,0.0602
14  Somerset,33178,2.0,0.941,0.0578
3  Barrhaven West,32270,3.0,0.956,0.0562
15  Kitchissippi,29290,3.0,0.935,0.051
7  Bay,27084,3.0,0.94,0.0472
17  Capital,27036,3.0,0.947,0.0471
19  Orléans South-Navan,26240,4.0,0.958,0.0457
6  Stittsville,26064,4.0,0.949,0.0454
16  River,25495,4.0,0.946,0.0444
18  Alta Vista,23549,5.0,0.947,0.041
13  Rideau-Rockcliffe,22800,2.0,0.948,0.0397
23  Kanata South,22783,4.0,0.947,0.0397
10  Gloucester-Southgate,22329,5.0,0.947,0.0389
1  Orléans East-Cumberland,22077,5.0,0.953,0.0384
24  Barrhaven East,21844,2.0,0.952,0.038
9  Knoxdale-Merivale,21552,3.0,0.952,0.0375
2  Orléans West-Innes,21448,5.0,0.951,0.0373
22  Riverside South-Findlay Creek,21114,4.0,0.954,0.0368
4  Kanata North,20731,5.0,0.948,0.0361
21  Rideau-Jock,17138,6.0,0.939,0.0298
11  Beacon Hill-Cyrville,15643,4.0,0.955,0.0272
20  Osgoode,14136,11.0,0.935,0.0246
5  West Carleton-March,11120,13.0,0.945,0.0194
