ward,type,requests
1  Orléans East-Cumberland,Garbage and Recycling,9416
1  Orléans East-Cumberland,Roads and Transportation,3870
1  Orléans East-Cumberland,Bylaw Services,3328
1  Orléans East-Cumberland,Parking Control Enforcement,2205
1  Orléans East-Cumberland,Water and the Environment,2073
1  Orléans East-Cumberland,Recreation and Culture,642
1  Orléans East-Cumberland,Citizen Services,300
1  Orléans East-Cumberland,Licenses and Permits,82
1  Orléans East-Cumberland,City Facilities,67
1  Orléans East-Cumberland,Social Community Service,55
1  Orléans East-Cumberland,Health and Safety,39
10  Gloucester-Southgate,Garbage and Recycling,6901
10  Gloucester-Southgate,Bylaw Services,4548
10  Gloucester-Southgate,Roads and Transportation,4531
10  Gloucester-Southgate,Parking Control Enforcement,3204
10  Gloucester-Southgate,Water and the Environment,1879
10  Gloucester-Southgate,Recreation and Culture,873
10  Gloucester-Southgate,Citizen Services,107
10  Gloucester-Southgate,Licenses and Permits,76
10  Gloucester-Southgate,Social Community Service,76
10  Gloucester-Southgate,City Facilities,69
10  Gloucester-Southgate,Health and Safety,65
11  Beacon Hill-Cyrville,Garbage and Recycling,5036
11  Beacon Hill-Cyrville,Roads and Transportation,3006
11  Beacon Hill-Cyrville,Bylaw Services,2896
11  Beacon Hill-Cyrville,Parking Control Enforcement,2572
11  Beacon Hill-Cyrville,Water and the Environment,1337
11  Beacon Hill-Cyrville,Recreation and Culture,455
11  Beacon Hill-Cyrville,Citizen Services,115
11  Beacon Hill-Cyrville,Social Community Service,71
11  Beacon Hill-Cyrville,City Facilities,63
11  Beacon Hill-Cyrville,Licenses and Permits,48
11  Beacon Hill-Cyrville,Health and Safety,44
12  Rideau-Vanier,Bylaw Services,11000
12  Rideau-Vanier,Garbage and Recycling,7893
12  Rideau-Vanier,Parking Control Enforcement,6028
12  Rideau-Vanier,Roads and Transportation,5904
12  Rideau-Vanier,Water and the Environment,1869
12  Rideau-Vanier,Recreation and Culture,636
12  Rideau-Vanier,Social Community Service,560
12  Rideau-Vanier,City Facilities,323
12  Rideau-Vanier,Health and Safety,292
12  Rideau-Vanier,Citizen Services,154
12  Rideau-Vanier,Licenses and Permits,105
13  Rideau-Rockcliffe,Garbage and Recycling,6631
13  Rideau-Rockcliffe,Bylaw Services,4970
13  Rideau-Rockcliffe,Parking Control Enforcement,4918
13  Rideau-Rockcliffe,Roads and Transportation,3430
13  Rideau-Rockcliffe,Water and the Environment,1960
13  Rideau-Rockcliffe,Recreation and Culture,429
13  Rideau-Rockcliffe,Citizen Services,147
13  Rideau-Rockcliffe,Health and Safety,112
13  Rideau-Rockcliffe,Social Community Service,77
13  Rideau-Rockcliffe,Licenses and Permits,71
13  Rideau-Rockcliffe,City Facilities,55
14  Somerset,Bylaw Services,8330
14  Somerset,Parking Control Enforcement,7797
14  Somerset,Garbage and Recycling,7341
14  Somerset,Roads and Transportation,6057
