ctid,tract_name,requests,median_days_to_close,equity_score,stratum,nei_name
5050171.03,0171.03,765,242.0,38.1,Rural,Navan-Vars
5050190.01,0190.01,769,104.0,40.9,Rural,Metcalfe-Edwards-Vernon
5050302.00,0302.00,655,187.0,44.1,Rural,Constance Bay-Dunrobin
5050050.00,0050.00,363,113.0,44.2,Urban,University of Ottawa
5050171.06,0171.06,904,198.0,44.4,Rural,Cumberland-Sarsfield
5050007.02,0007.02,106,201.5,45.0,Urban,Heron Gate
5050191.01,0191.01,341,160.0,48.9,Rural,Manotick Station
5050151.09,0151.09,829,231.0,49.1,Rural,Goulbourn
5050190.02,0190.02,553,165.0,51.5,Rural,Greely
5050200.01,0200.01,281,190.0,51.8,Rural,Marlborough
5050022.00,0022.00,514,132.5,52.2,Urban,Carlington-Belleview-Lepage-Caldwell
5050012.00,0012.00,372,184.5,52.4,Urban,Overbrook-The Four Corners-Queen Mary Court
5050100.00,0100.00,119,281.0,52.9,Urban,Vanier-McArthur Ave
5050014.00,0014.00,88,145.5,54.4,Urban,Sandy Hill-Strathcona Heights
5050151.03,0151.03,531,224.0,54.8,Rural,Richmond Village
5050123.01,0123.01,205,176.0,55.5,Urban,Emerald Woods-Sawmill Creek
5050101.00,0101.00,358,223.0,56.3,Urban,Vanier-Parkway-Kingsview Park
5050010.00,0010.00,143,237.0,56.4,Urban,Hawthorn Meadows-Confederation Court
5050122.01,0122.01,161,223.0,56.4,Urban,Cummings-Cyrville
5050200.02,0200.02,554,184.0,56.8,Rural,North Gover-Kars
5050029.00,0029.00,227,119.0,57.6,Urban,Britannia Woods-Michele Heights
5050002.05,0002.05,197,135.0,57.8,Urban,Hunt Club West-Ashgrove-Shearwater Court
5050121.02,0121.02,190,126.0,58.0,Urban,Beacon Hill South
5050201.00,0201.00,317,178.0,58.6,Rural,Manotick-Long Island
5050301.00,0301.00,480,184.0,58.9,Rural,Kinburn-Galetta-Fitzroy
5050191.02,0191.02,438,196.0,59.3,Rural,Osgoode
5050056.00,0056.00,455,150.0,59.7,Urban,Lowertown-Beausoleil Dr
5050132.00,0132.00,272,207.0,60.1,Urban,Skyline-Fisher Heights
5050027.00,0027.00,157,197.0,60.7,Urban,Morrison Gardens
5050054.00,0054.00,719,232.0,61.3,Urban,Byward Market
5050102.00,0102.00,240,159.0,61.5,Urban,Vanier-Montreal Rd
5050061.00,0061.00,350,155.5,61.7,Urban,Forbes
5050125.02,0125.02,134,121.5,62.8,Suburban,Blackburn-Innes Park
5050003.00,0003.00,622,184.5,63.0,Urban,Riverside Park
5050013.00,0013.00,379,182.0,63.1,Urban,Overbrook-Donald Court
5050135.01,0135.01,372,160.0,63.3,Urban,Craig Henry-Woodvale
5050060.00,0060.00,212,192.5,63.3,Urban,Brittany-Beechwood
5050021.00,0021.00,504,190.5,63.6,Urban,Carlington-Alexander
5050053.00,0053.00,336,179.0,64.0,Urban,Lowertown-Rideau St
5050020.01,0020.01,600,251.0,64.3,Urban,Rideauview-Courtland Park-Experimental Farm-Carleton University
5050160.09,0160.09,705,160.0,64.4,Rural,South March
5050120.03,0120.03,216,235.0,64.6,Urban,Rothwell Village-Beaconwood
5050138.00,0138.00,239,149.0,64.7,Urban,Bayshore
5050122.02,0122.02,464,253.0,64.8,Urban,Pineview-Cyrville
5050127.00,0127.00,288,164.5,65.1,Suburban,Uplands-Ottawa Airport
5050004.00,0004.00,493,234.0,65.2,Urban,Clementine
5050062.02,0062.02,143,191.0,65.2,Urban,Wateridge Village at Rockcliffe
5050125.03,0125.03,507,230.0,65.2,Greenbelt-Rural,Greenbelt-Mer Bleue
5050131.02,0131.02,231,204.0,65.3,Urban,Parkwood Hills
5050042.00,0042.00,421,216.0,65.4,Urban,Dalhousie-Rochester Heights
5050028.00,0028.00,697,140.0,65.8,Urban,Foster Farm
5050136.02,0136.02,351,147.0,66.0,Urban,Bells Corners West-Bellwood-Westcliffe Estates
5050011.01,0011.01,758,182.5,66.1,Urban,East Industrial-Sheffield Glen-Russell Heights
5050001.06,0001.06,404,157.0,66.3,Urban,Greenboro East
5050001.08,0001.08,503,175.0,66.4,Urban,Hunt Club Park-East Industrial
5050103.00,0103.00,238,128.5,66.5,Urban,Vanier-Richelieu Park
5050051.00,0051.00,345,242.0,66.5,Urban,Sandy Hill-King Edward Ave
5050141.14,0141.14,1060,161.5,66.5,Rural-Greenbelt,Greenbelt-Fallowfield
5050008.00,0008.00,235,252.0,66.7,Urban,Canterbury
