type,requests,pct_geocoded,pct_still_open,median_days_to_close,close_date_meaningful
Garbage and Recycling,208222,0.0,1.3,2.0,True
Roads and Transportation,107044,78.8,9.9,197.0,False
Bylaw Services,102884,0.2,6.5,3.0,True
Water and the Environment,98948,0.0,9.0,202.0,False
Parking Control Enforcement,90096,0.0,0.5,0.0,True
Recreation and Culture,14072,99.7,5.8,205.0,False
Citizen Services,8483,0.0,14.5,160.0,False
Social Community Service,3810,96.7,26.2,232.0,False
Health and Safety,2388,0.0,16.2,179.0,False
City Facilities,2050,1.4,9.9,170.0,False
Licenses and Permits,1812,0.0,17.9,246.0,False
