ward,requests,pooled_median_days,pct_slow_to_administer,garbage_median_days
1,21050,5.0,30.6,3.0
2,20400,5.0,34.6,2.0
3,30859,3.0,20.7,3.0
4,19651,5.0,35.4,2.0
5,10503,13.0,44.3,1.0
6,24723,4.0,27.2,2.0
7,25454,3.0,39.0,3.0
8,32759,2.0,36.6,2.0
9,20524,3.0,35.4,2.0
10,21141,5.0,32.8,2.0
11,14944,4.0,31.5,2.0
12,32684,3.0,26.2,3.0
13,21615,2.0,25.7,2.0
14,31223,2.0,26.0,3.0
15,27392,3.0,29.9,3.0
16,24123,4.0,32.9,2.0
17,25601,3.0,31.8,2.0
18,22297,5.0,36.7,2.0
19,25127,4.0,25.9,3.0
20,13215,11.0,41.4,3.0
21,16088,6.0,34.8,3.0
22,20133,4.0,25.6,3.0
23,21573,4.0,33.0,2.0
24,20792,2.0,27.7,1.0
