councillor_a,councillor_b,shared_votes,agreement_rate
George Darouze,Shawn Menard,124,0.234
George Darouze,Sean Devine,116,0.25
Matthew Luloff,Shawn Menard,231,0.264
George Darouze,Jessica Bradley,112,0.268
Ariel Troster,George Darouze,119,0.269
George Darouze,Theresa Kavanagh,118,0.288
George Darouze,Rawlson King,125,0.328
Allan Hubley,Shawn Menard,195,0.333
David Brown,Shawn Menard,221,0.335
Laura Dudas,Shawn Menard,216,0.338
Matthew Luloff,Sean Devine,225,0.342
Jessica Bradley,Matthew Luloff,213,0.347
Catherine Kitts,Shawn Menard,215,0.363
David Brown,Sean Devine,214,0.364
George Darouze,Jeff Leiper,129,0.364
David Hill,Shawn Menard,213,0.366
Shawn Menard,Steve Desroches,194,0.366
David Hill,Sean Devine,207,0.367
Ariel Troster,Matthew Luloff,221,0.371
Matthew Luloff,Theresa Kavanagh,217,0.373
Allan Hubley,Sean Devine,194,0.376
Allan Hubley,Jessica Bradley,191,0.377
Jeff Leiper,Matthew Luloff,228,0.377
David Brown,Theresa Kavanagh,228,0.377
Sean Devine,Steve Desroches,209,0.383
Shawn Menard,Tim Tierney,229,0.384
David Brown,Jessica Bradley,205,0.385
Shawn Menard,Wilson Lo,214,0.393
Allan Hubley,Theresa Kavanagh,198,0.394
Cathy Curry,Shawn Menard,231,0.398
Ariel Troster,David Brown,216,0.398
Matthew Luloff,Rawlson King,233,0.399
Clarke Kelly,Shawn Menard,189,0.402
Allan Hubley,Ariel Troster,193,0.404
George Darouze,Laine Johnson,113,0.407
Ariel Troster,David Hill,200,0.41
David Hill,Jessica Bradley,197,0.411
Sean Devine,Wilson Lo,222,0.414
David Brown,Jeff Leiper,221,0.416
David Hill,Theresa Kavanagh,211,0.417
Jessica Bradley,Steve Desroches,208,0.418
Steve Desroches,Theresa Kavanagh,198,0.419
Jessica Bradley,Wilson Lo,221,0.421
Clarke Kelly,Sean Devine,190,0.421
Laura Dudas,Sean Devine,211,0.422
Allan Hubley,Jeff Leiper,196,0.423
Cathy Curry,Sean Devine,200,0.425
Catherine Kitts,Sean Devine,209,0.426
Catherine Kitts,Jessica Bradley,206,0.427
Ariel Troster,Steve Desroches,210,0.429
Jessica Bradley,Laura Dudas,211,0.431
Cathy Curry,Jessica Bradley,193,0.435
Rawlson King,Steve Desroches,196,0.439
Theresa Kavanagh,Wilson Lo,247,0.445
Sean Devine,Tim Tierney,217,0.447
Ariel Troster,Wilson Lo,261,0.448
Clarke Kelly,Jessica Bradley,187,0.449
Laine Johnson,Matthew Luloff,209,0.45
David Brown,Rawlson King,226,0.451
Jessica Bradley,Tim Tierney,205,0.454
Jeff Leiper,Steve Desroches,196,0.459
Allan Hubley,Rawlson King,197,0.462
Mark Sutcliffe,Shawn Menard,227,0.463
Ariel Troster,Laura Dudas,246,0.463
Clarke Kelly,Theresa Kavanagh,224,0.469
Laura Dudas,Theresa Kavanagh,232,0.47
Ariel Troster,Cathy Curry,231,0.472
David Hill,Rawlson King,210,0.476
Cathy Curry,Theresa Kavanagh,241,0.477
Clarke Kelly,Jeff Leiper,230,0.478
David Hill,Jeff Leiper,205,0.478
David Brown,Laine Johnson,202,0.48
Rawlson King,Wilson Lo,210,0.481
Ariel Troster,Clarke Kelly,229,0.485
Rawlson King,Tim Tierney,222,0.486
Ariel Troster,Catherine Kitts,246,0.488
Allan Hubley,Laine Johnson,182,0.489
Cathy Curry,Rawlson King,225,0.489
Clarke Kelly,Rawlson King,198,0.49
Jeff Leiper,Laura Dudas,250,0.492
George Darouze,Riley Brockington,126,0.492
Laura Dudas,Rawlson King,221,0.493
David Hill,Laine Johnson,186,0.495
Mark Sutcliffe,Sean Devine,206,0.495
Catherine Kitts,Theresa Kavanagh,234,0.496
Ariel Troster,Tim Tierney,244,0.5
Catherine Kitts,Rawlson King,217,0.502
Laine Johnson,Steve Desroches,195,0.503
Jessica Bradley,Mark Sutcliffe,202,0.505
Jeff Leiper,Wilson Lo,251,0.506
Isabelle Skalski,Sean Devine,79,0.506
Catherine Kitts,Jeff Leiper,251,0.506
Mark Sutcliffe,Rawlson King,229,0.507
Isabelle Skalski,Shawn Menard,69,0.507
Glen Gower,Shawn Menard,238,0.508
George Darouze,Stéphanie Plante,110,0.509
Laine Johnson,Wilson Lo,236,0.517
Mark Sutcliffe,Theresa Kavanagh,208,0.519
Jeff Leiper,Mark Sutcliffe,227,0.52
Clarke Kelly,Laine Johnson,210,0.524
Isabelle Skalski,Jessica Bradley,80,0.525
Isabelle Skalski,Theresa Kavanagh,74,0.527
Theresa Kavanagh,Tim Tierney,241,0.527
Cathy Curry,Laine Johnson,214,0.528
Jeff Leiper,Tim Tierney,257,0.529
Cathy Curry,Jeff Leiper,263,0.532
Ariel Troster,Mark Sutcliffe,206,0.534
Matthew Luloff,Riley Brockington,226,0.535
Matthew Luloff,Stéphanie Plante,197,0.543
David Hill,Stéphanie Plante,198,0.545
Riley Brockington,Steve Desroches,185,0.546
Laine Johnson,Mark Sutcliffe,193,0.554
Isabelle Skalski,Jeff Leiper,74,0.554
Laine Johnson,Laura Dudas,224,0.554
Ariel Troster,Isabelle Skalski,84,0.56
Catherine Kitts,Laine Johnson,221,0.57
Laine Johnson,Tim Tierney,225,0.573
David Brown,Riley Brockington,218,0.573
Marty Carr,Matthew Luloff,204,0.574
David Hill,Riley Brockington,201,0.577
Stéphanie Plante,Wilson Lo,205,0.58
Steve Desroches,Stéphanie Plante,194,0.582
