who,recorded_votes,dissents,first,last,dissent_rate
Shawn Menard,248,132,2022-11-09,2026-07-15,0.532
Jessica Bradley,224,102,2022-11-30,2026-07-15,0.455
Sean Devine,235,106,2022-11-30,2026-07-15,0.451
Ariel Troster,271,111,2022-11-30,2026-09-02,0.41
Theresa Kavanagh,266,107,2022-11-09,2026-09-02,0.402
Rawlson King,253,100,2022-11-09,2026-07-15,0.395
Jeff Leiper,289,113,2022-11-09,2026-09-02,0.391
Laine Johnson,240,86,2022-11-30,2026-09-02,0.358
Riley Brockington,273,86,2022-11-09,2026-09-02,0.315
Stéphanie Plante,219,69,2022-11-30,2026-07-15,0.315
George Darouze,139,34,2022-11-09,2025-01-29,0.245
Matthew Luloff,265,59,2022-11-09,2026-07-15,0.223
David Hill,218,46,2022-11-30,2026-07-15,0.211
Wilson Lo,274,56,2022-11-30,2026-09-02,0.204
Marty Carr,227,46,2022-11-30,2026-07-15,0.203
Clarke Kelly,247,49,2022-11-30,2026-07-15,0.198
David Brown,248,48,2022-11-30,2026-07-15,0.194
Isabelle Skalski,90,16,2025-06-25,2026-07-15,0.178
Allan Hubley,200,31,2022-11-09,2026-07-15,0.155
Steve Desroches,217,31,2022-11-30,2026-07-15,0.143
Tim Tierney,286,40,2022-11-09,2026-09-02,0.14
Catherine Kitts,285,39,2022-11-09,2026-09-02,0.137
Glen Gower,299,41,2022-11-09,2026-09-02,0.137
Laura Dudas,271,34,2022-11-30,2026-09-02,0.125
Cathy Curry,269,33,2022-11-09,2026-09-02,0.123
Mark Sutcliffe,229,23,2022-11-30,2026-07-15,0.1
