department,awards,contracts,total_amount,noncompetitive_awards,noncompetitive_amount,noncompetitive_share
Infrastructure & Water Services,2485,2101,2237220059.3,246,311558143.88,0.14
Transit Services,578,464,1106125934.44,212,117751410.91,0.11
Public Works,618,481,1100837246.38,113,36416006.39,0.03
Finance and Corporate Services,732,604,917837209.86,220,284017671.35,0.31
Emergency & Protective Services,198,154,194699922.41,75,135114062.19,0.69
Ottawa Police Service,15,15,122805735.63,1,65579.1,0.0
"Recreation, Cultural & Facility Services",400,353,119728097.1,79,12508031.78,0.1
Community and Social Services,119,102,79199388.48,43,6533117.88,0.08
Office of the City Clerk,43,43,29200110.51,8,723098.96,0.02
Legal Services,3,3,16500000.0,0,0.0,0.0
"Planning, Real Estate & Economic Development",141,138,13467842.61,26,1574344.58,0.12
"Planning, Development and Building Services",133,124,12868419.17,20,1489005.1,0.12
Strategic Initiatives,116,108,7857257.94,10,811602.5,0.1
Ottawa Public Library,8,8,4474304.96,3,272965.25,0.06
Ottawa Public Health,16,15,2289360.35,6,795632.72,0.35
Office of the Auditor General,27,25,1879238.31,10,655243.41,0.35
Public Relations and Media Relations,2,2,1302824.3,1,102824.3,0.08
Innovative Client Services,1,1,1200000.0,0,0.0,0.0
City Manager's Office,11,11,544795.37,7,334550.33,0.61
"Planning, Development a",1,1,61796.0,0,0.0,0.0
Committee of Adjustment,1,1,26534.86,1,26534.86,1.0
