vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
MILLER WASTE SYSTEMS INC,1,1,491692363.39,0.0,0.08236,0.08236,0.0
NEW FLYER INDUSTRIES,9,13,378922432.77,54290.0,0.06347,0.14583,0.0001
EBC INC,1,1,344133900.0,0.0,0.05764,0.20347,0.0
ENVARI ENERGY SOLUTIONS,7,11,239663457.02,239663457.02,0.04014,0.24361,1.0
RW TOMLINSON LTD,55,67,228474724.39,0.0,0.03827,0.28188,0.0
SUNCOR/PETRO CANADA,1,1,200914600.0,0.0,0.03365,0.31553,0.0
THOMAS CAVANAGH CONSTRUCTION LTD,43,52,189882091.14,28335.79,0.03181,0.34734,0.0001
BELL MOBILITY INC,16,26,115626227.08,112113728.62,0.01937,0.36671,0.9696
BROCCOLINI CONSTRUCTION,1,1,115452850.0,0.0,0.01934,0.38605,0.0
MICROSOFT CORPORATION,2,4,115292773.32,115292773.32,0.01931,0.40536,1.0
GIP PAVING INC,25,27,114138669.86,0.0,0.01912,0.42448,0.0
NOVABUS ST EUSTACHE,5,7,91455349.3,96263.98,0.01532,0.4398,0.0011
ENVIRONMENTAL 360 SOLUTIONS LTD,1,1,86585332.46,0.0,0.0145,0.4543,0.0
ULTRAMAR / PARKLAND CORPORATION,2,5,77291614.85,0.0,0.01295,0.46725,0.0
BLACK & MCDONALD LIMITED,14,18,75077903.98,0.0,0.01258,0.47983,0.0
W O STINSON AND SON LTD,9,15,59868856.04,0.0,0.01003,0.48986,0.0
LOUIS W BRAY CONSTRUCTION LTD,15,22,58889646.66,0.0,0.00986,0.49972,0.0
STANTEC CONSULTING LTD,195,237,52627925.87,6903521.28,0.00882,0.50854,0.1312
THE AFTERMARKET PARTS COMPANY LLC,18,29,47923126.78,33226785.91,0.00803,0.51657,0.6933
DORAN CONTRACTORS LIMITED,7,9,47493153.33,5967074.28,0.00796,0.52453,0.1256
SAP CANADA INC,2,6,46002656.6,46002656.6,0.00771,0.53224,1.0
NORTH AMERICA CONSTRUCTION 1993 LTD,1,1,41565151.1,0.0,0.00696,0.5392,0.0
ROBINSON CONSULTANTS,96,129,41228575.85,0.0,0.00691,0.54611,0.0
NOVA NETWORKS INC,8,10,40592888.37,0.0,0.0068,0.55291,0.0
"A & G THE ROAD CLEANERS LTD,B G GORHAM CONSTRUCTION,PAVAGE INTER CITE (130247 CANADA INC),PML CONTRACTING INC,SUPER SPEEDY INC",1,1,39395286.21,0.0,0.0066,0.55951,0.0
GOLDIE MOHR LTD,30,46,38312130.09,0.0,0.00642,0.56593,0.0
RUSH TRUCK CENTRES OF CANADA LIMITE,3,3,37374230.93,0.0,0.00626,0.57219,0.0
PARSONS INC,100,131,35870021.81,838220.0,0.00601,0.5782,0.0234
THE CANADA LIFE ASSURANCE COMPANY,1,1,35378792.0,0.0,0.00593,0.58413,0.0
"TER MOR ENTERPRISES (1470581 ONTARIO INC), O/A TAMAX (1995653 ONTARIO INC),CARP RD CONTRACTING,D&L CONTRACTING AND EQUIPMENT,GERRY CREPIN CARTAGE LTD,GOLDIE MOHR LTD,JOSH LASALLE CONSTRUCTION,J W BASTIAN CONTRACTING INC,JWK UTILITIES AND SITE SERVICES LTD,MCWILLIAMS CONSTRUCTION LIMITED,MIKE MORRIS EQUIPMENT RENTALS INC,MAURICE DESCHAMBAULT,POSTCARD PERFECT LTD,ROBERT GOURLAY CARTAGE,ULTIMATE PAVEMENT WORKS,WARNOCK EQUIPMENT SERVICES LTD",1,1,33376285.19,0.0,0.00559,0.58972,0.0
OTTAWA SAFETY COUNCIL,3,3,31380080.79,0.0,0.00526,0.59498,0.0
VARIOUS,4,6,27950000.0,0.0,0.00468,0.59966,0.0
360 ADVANCED SECURITY CORP,10,11,27920511.39,198423.87,0.00468,0.60434,0.0071
BBB ARCHITECTS TORONTO INC.,2,2,26992301.65,26992301.65,0.00452,0.60886,1.0
IBM CANADA INC,1,2,26526909.0,0.0,0.00444,0.6133,0.0
CREATIVE CARRIAGE LTD,4,5,26020403.66,155019.4,0.00436,0.61766,0.006
ROGERS COMMUNICATIONS CANADA INC,1,1,25568687.5,0.0,0.00428,0.62194,0.0
RUSH TRUCK CENTRE OF CANADA LIMITED,10,12,24613639.89,2190749.44,0.00412,0.62606,0.089
SCHEIDT & BACHMANN GMBH,3,11,24334898.39,549687.0,0.00408,0.63014,0.0226
TAGGART CONSTRUCTION LTD,4,4,23773200.0,0.0,0.00398,0.63412,0.0
PARA LOGISTICS LTD,2,5,23204486.63,23204486.63,0.00389,0.63801,1.0
WEBBER INFRASTRUCTURE MANAGEMENT CA,2,2,22832427.37,0.0,0.00382,0.64183,0.0
SAFETEK EMERGENCY VEHICLES LTD,1,2,22445920.0,0.0,0.00376,0.64559,0.0
KEMIRA WATER SOLUTION CANADA INC,4,5,22101582.43,0.0,0.0037,0.64929,0.0
NORTH AMERICA CONSTRUCTION (1993) L,1,1,21602249.9,0.0,0.00362,0.65291,0.0
COMPASS GROUP CANADA LTD,2,2,21282288.0,0.0,0.00356,0.65647,0.0
CITY VIEW BUS SALES & SERVICE LTD.,5,6,21191523.43,32268.08,0.00355,0.66002,0.0015
NORS CONSTRUCTION EQUIPMENT CA ST L,4,5,20469659.8,561791.8,0.00343,0.66345,0.0274
SUNCOR ENERGY INC,1,1,20272470.8,0.0,0.0034,0.66685,0.0
"KARCHER MUNICIPAL NORTH AMERICA INC,JOE JOHNSON EQUIPMENT INC",1,1,20056593.6,0.0,0.00336,0.67021,0.0
OTTAWA D SQUARED CONSTRUCTION LTD,18,22,18977631.33,46424.0,0.00318,0.67339,0.0024
"ARBORIS INC,ASPLUNDH CANADA INC,DAVEY TREE EXPERT CO OF CANADA LTD,TREE COMPASS INC,VS LANDSCAPE GROUP,WRIGHT TREE SERVICE",1,2,18186075.4,0.0,0.00305,0.67644,0.0
NOVATECH ENGINEERING,36,54,17178437.29,0.0,0.00288,0.67932,0.0
ROGERS COMMUNICATIONS INC,1,1,17120000.0,17120000.0,0.00287,0.68219,1.0
J L RICHARDS AND ASSOCIATES LIMITED,62,74,16965561.96,0.0,0.00284,0.68503,0.0
KCE CONSTRUCTION LTD,13,13,16722324.23,0.0,0.0028,0.68783,0.0
ARROW PROPERTY SERVICE,25,27,16337709.21,0.0,0.00274,0.69057,0.0
"LAURENT LEBLANC LIMITED,P MUNRO GROUP INC.",1,4,16058568.69,0.0,0.00269,0.69326,0.0
SOLOTECH INC,1,2,15302975.6,0.0,0.00256,0.69582,0.0
COMPLETE PURCHASING SERVICES INC,1,1,15297723.2,0.0,0.00256,0.69838,0.0
BRANDT TRACTOR LTD - TRUCK & TRAILER,1,1,15187445.12,0.0,0.00254,0.70092,0.0
"CORNWALL GRAVEL CO LTD,THOMAS CAVANAGH CONSTRUCTION LTD,LAFARGE CANADA INC",1,1,14802440.0,0.0,0.00248,0.7034,0.0
LOGISTIK UNICORP INC,2,3,14758913.63,9262139.28,0.00247,0.70587,0.6276
WSP CANADA INC,87,90,14688718.36,0.0,0.00246,0.70833,0.0
THE FIA GROUP,6,6,14507026.36,0.0,0.00243,0.71076,0.0
IRON MOUNTAIN,2,2,13781865.8,0.0,0.00231,0.71307,0.0
"A & G THE ROAD CLEANERS LTD,B G GORHAM CONSTRUCTION",1,1,13302311.0,0.0,0.00223,0.7153,0.0
CAMPBELL FORD SALES LTD,35,36,13001120.51,0.0,0.00218,0.71748,0.0
ROBERT EXCAVATING LTD,4,4,12717222.21,0.0,0.00213,0.71961,0.0
B AND T MACFARLANE OTTAWA LTD,20,23,12623342.76,6145398.0,0.00211,0.72172,0.4868
PYRAMID SNOW SERVICES INC,2,4,12484826.86,0.0,0.00209,0.72381,0.0
LAURIN GROUP,4,4,11942780.4,0.0,0.002,0.72581,0.0
"1-888-DR WASTE INC.,BERNWOOD & K.JOLY CONTRACTING INC.,CAUSEWAY WORK CENTRE,DANWILL CONTRACTING,ENHANCED FACILITY SERVICES CLEANING,EUROWORLD CORP,GC CONSTRUCTION,GREEN WORKS CONTRACTING INC,HUBERT'S LANDSCAPING INC,MAXIMUM RENOVATION ETC,NEW LOOK GARDEN & SERVICES INC,PRODIGY PROPERTY MAINTENANCE INC,QUINN LANDSCAPING,SQM JANITORIAL SERVICES INC,TMK TREE AND HEDGES INC",1,1,11109830.54,0.0,0.00186,0.72767,0.0
COMMISSIONAIRES OTTAWA,4,10,10865053.72,0.0,0.00182,0.72949,0.0
