school_board,school_board_full,zone_number,ward_number
English Public School Board,Ottawa-Carleton District School Board,1,5
English Public School Board,Ottawa-Carleton District School Board,1,6
English Public School Board,Ottawa-Carleton District School Board,1,21
English Public School Board,Ottawa-Carleton District School Board,2,4
English Public School Board,Ottawa-Carleton District School Board,2,23
English Public School Board,Ottawa-Carleton District School Board,3,3
English Public School Board,Ottawa-Carleton District School Board,3,24
English Public School Board,Ottawa-Carleton District School Board,4,7
English Public School Board,Ottawa-Carleton District School Board,4,15
English Public School Board,Ottawa-Carleton District School Board,5,8
English Public School Board,Ottawa-Carleton District School Board,5,9
English Public School Board,Ottawa-Carleton District School Board,6,12
English Public School Board,Ottawa-Carleton District School Board,6,13
English Public School Board,Ottawa-Carleton District School Board,7,20
English Public School Board,Ottawa-Carleton District School Board,7,22
English Public School Board,Ottawa-Carleton District School Board,8,1
English Public School Board,Ottawa-Carleton District School Board,8,19
English Public School Board,Ottawa-Carleton District School Board,9,17
English Public School Board,Ottawa-Carleton District School Board,9,18
English Public School Board,Ottawa-Carleton District School Board,10,14
English Public School Board,Ottawa-Carleton District School Board,11,10
English Public School Board,Ottawa-Carleton District School Board,11,16
English Public School Board,Ottawa-Carleton District School Board,12,2
English Public School Board,Ottawa-Carleton District School Board,12,11
English Separate School Board,Ottawa Catholic School Board,1,6
English Separate School Board,Ottawa Catholic School Board,1,20
English Separate School Board,Ottawa Catholic School Board,1,21
English Separate School Board,Ottawa Catholic School Board,2,4
English Separate School Board,Ottawa Catholic School Board,2,5
English Separate School Board,Ottawa Catholic School Board,2,23
English Separate School Board,Ottawa Catholic School Board,3,1
English Separate School Board,Ottawa Catholic School Board,3,19
English Separate School Board,Ottawa Catholic School Board,4,3
English Separate School Board,Ottawa Catholic School Board,4,22
English Separate School Board,Ottawa Catholic School Board,4,24
English Separate School Board,Ottawa Catholic School Board,5,2
English Separate School Board,Ottawa Catholic School Board,5,11
English Separate School Board,Ottawa Catholic School Board,6,8
English Separate School Board,Ottawa Catholic School Board,6,9
English Separate School Board,Ottawa Catholic School Board,7,7
English Separate School Board,Ottawa Catholic School Board,7,15
English Separate School Board,Ottawa Catholic School Board,8,10
English Separate School Board,Ottawa Catholic School Board,8,18
English Separate School Board,Ottawa Catholic School Board,9,16
English Separate School Board,Ottawa Catholic School Board,9,17
English Separate School Board,Ottawa Catholic School Board,10,12
English Separate School Board,Ottawa Catholic School Board,10,13
English Separate School Board,Ottawa Catholic School Board,10,14
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,4,4
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,4,5
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,4,6
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,4,7
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,4,8
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,4,23
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,5,3
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,5,9
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,5,21
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,5,22
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,5,24
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,6,12
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,6,14
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,6,15
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,6,17
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,7,2
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,8,19
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,9,1
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,10,10
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,10,16
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,10,18
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,10,20
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,11,11
French Catholic School Board,Conseil des écoles catholiques du Centre-Est,11,13
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,6,11
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,6,19
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,7,1
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,7,2
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,8,10
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,8,16
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,8,20
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,8,22
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,9,14
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,9,15
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,9,17
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,9,18
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,10,12
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,10,13
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,11,4
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,11,5
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,11,7
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,11,8
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,11,9
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,12,3
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,12,6
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,12,21
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,12,23
French Public School Board,Conseil des écoles publiques de l’Est de l’Ontario,12,24
